CBSAFP,GDP pc,Diversity,Log_GDPpc
29420,24111.67126,81,4.382227314
29460,33276.63668,75,4.522139425
29500,58035.69231,42,4.76369517
29540,47448.81043,97,4.676225329
29620,44171.40687,74,4.645141232
29660,36406.95044,65,4.561184303
29700,46716.00754,42,4.66946572
29740,30558.74297,60,4.485135486
29780,21436.087,38,4.331145511
29820,46485.9427,50,4.667321643
29860,36146.02134,51,4.558060501
29900,32125.07433,37,4.506844141
29940,36319.1965,67,4.560136232
29980,21881.65804,49,4.340080227
30020,37637.90615,55,4.575625455
30060,29084.06132,50,4.463655052
30140,38046.50457,76,4.580314763
30220,94916.18585,40,4.977340278
30260,36602.3239,43,4.56350866
30280,28932.72228,41,4.461389298
30300,39527.87635,63,4.596903482
30340,38483.05692,71,4.585269563
30380,34012.6812,63,4.531640868
30420,61714.7625,40,4.790389062
30460,51399.37199,79,4.710957813
30580,56620.8146,35,4.752976113
30620,73876.73954,74,4.86850772
30660,33372.54431,46,4.523389318
30700,50846.59521,81,4.706261877
30780,45345.03488,94,4.65652974
30820,39673.48561,62,4.598500358
30860,35391.83592,72,4.548903092
30880,32767.98764,40,4.515449771
30900,32795.08002,46,4.515808695
30940,26324.31056,60,4.420357006
30980,48231.65205,76,4.683332138
31020,40056.2142,69,4.602669901
31060,111309.0291,5,5.046530395
31080,64198.94342,108,4.807527881
31140,49577.58759,75,4.69528539
31180,39700.23821,75,4.598793113
31220,33353.80989,56,4.523145449
31260,32688.85822,63,4.514399751
31300,24010.25168,49,4.380396712
31340,22553.40262,61,4.353212073
31380,36431.34656,50,4.561475224
31420,42696.38314,61,4.630391087
31460,37515.64147,59,4.574212377
31500,40828.35798,41,4.610961914
31540,66314.47834,87,4.821608358
31580,42717.97176,48,4.630610624
31620,34775.47366,42,4.541273054
31660,34562.33235,42,4.538603042
31680,27878.90111,49,4.445275651
31700,58101.86083,82,4.764190042
31740,38480.3474,78,4.585238984
31820,48811.32266,75,4.688520576
31860,51353.31057,81,4.710568446
31900,34512.70153,66,4.537978956
31930,55929.67218,71,4.747642274
31940,39467.30694,55,4.596237493
31980,43244.26428,46,4.635928513
32000,34761.23095,39,4.541095147
32020,39428.36853,54,4.595808807
32100,42069.60323,61,4.623968416
32140,59195.83782,56,4.772291172
32180,39967.09331,39,4.601702564
32220,63692.81546,63,4.804090447
32260,40776.25741,51,4.610407362
32280,30144.11598,51,4.479202552
32340,30145.86854,39,4.479227801
32380,55534.43265,54,4.744562339
32460,29263.13244,53,4.466320813
32500,61162.42297,50,4.786484682
32540,36385.00349,62,4.560922421
32580,22209.36846,60,4.346536209
32620,24987.61497,56,4.397724805
32660,34295.59173,42,4.5352383
32700,64168.1304,42,4.807319386
32740,33024.52723,61,4.518836609
32780,35973.15005,84,4.555978469
32820,49628.26333,74,4.695729078
32860,38580.30143,55,4.586365616
32900,31651.09773,54,4.500388777
32940,34090.07589,72,4.532627968
32980,62776.10975,49,4.797794399
33020,39294.55206,53,4.594332342
33060,28936.07869,46,4.461439677
33100,49155.85224,92,4.69157523
33140,34981.7549,72,4.543841593
33180,26459.4813,48,4.422581326
33220,57778.10385,43,4.761763285
33260,145057.0729,41,5.16153891
33300,25098.56411,43,4.399648876
33340,56440.37635,88,4.751589901
33420,36221.53496,59,4.55896685
33460,65514.41463,89,4.816336865
33500,53898.11872,83,4.731573607
33540,39664.57667,83,4.598402824
33580,50431.82886,61,4.702704718
33620,44912.65205,44,4.652368701
33660,43628.63075,78,4.639771583
33700,36408.1516,79,4.561198631
33740,39775.03315,78,4.59961055
33780,36509.25789,65,4.562403005
33860,43680.22971,90,4.640284914
33940,31696.59811,77,4.501012653
33980,30713.97459,70,4.487336021
34020,43797.23033,53,4.641446647
34060,49340.7724,56,4.693205944
34100,34733.08975,57,4.540743419
