Source,Target,Type,Weight
3152,3149,Directed,0.535677
3152,3151,Directed,0.364915
3152,3159,Directed,0.262372
3152,3162,Directed,0.259111
3152,3241,Directed,0.249213
3152,3262,Directed,0.282006
3152,3271,Directed,0.201684
3152,3364,Directed,0.204064
3152,4232,Directed,0.205892
3152,4245,Directed,0.228458
3152,4247,Directed,0.346262
3152,4248,Directed,0.207959
3152,5211,Directed,0.271011
3152,5241,Directed,0.219858
3152,6211,Directed,0.236248
3159,2122,Directed,0.211937
3159,3117,Directed,0.406283
3159,3141,Directed,0.300661
3159,3149,Directed,0.584611
3159,3151,Directed,0.257149
3159,3152,Directed,0.538848
3159,3162,Directed,0.327437
3159,3253,Directed,0.205997
3159,3274,Directed,0.226914
3159,3352,Directed,0.242426
3159,3365,Directed,0.224201
3159,5211,Directed,0.214397
3159,5412,Directed,0.214397
3159,7211,Directed,0.242426
3159,8121,Directed,0.260155
3161,2121,Directed,0.469611
3161,3117,Directed,0.247007
3161,3131,Directed,0.36894
3161,3151,Directed,0.46585
3161,3162,Directed,0.263137
3161,3222,Directed,0.28064
3161,3314,Directed,0.319848
3161,3315,Directed,0.358373
3161,3326,Directed,0.223526
3161,3352,Directed,0.229278
3161,3361,Directed,0.337184
3161,3364,Directed,0.38418
3161,4237,Directed,0.281985
3161,4247,Directed,0.263137
3161,4811,Directed,0.261463
3161,6112,Directed,0.205797
3161,7223,Directed,0.232183
3162,2122,Directed,0.327721
3162,2211,Directed,0.234507
3162,3112,Directed,0.239902
3162,3114,Directed,0.350385
3162,3115,Directed,0.478784
3162,3117,Directed,0.563459
3162,3121,Directed,0.239902
3162,3122,Directed,0.320421
3162,3131,Directed,0.414326
3162,3141,Directed,0.227389
3162,3151,Directed,0.539265
3162,3241,Directed,0.35821
3162,3253,Directed,0.238235
3162,3262,Directed,0.352606
3162,3271,Directed,0.216333
3162,3273,Directed,0.225584
3162,3314,Directed,0.213966
3162,3315,Directed,0.285659
3162,3328,Directed,0.216333
3162,3335,Directed,0.209271
3162,3336,Directed,0.285659
3162,3341,Directed,0.524541
3162,3345,Directed,0.216881
3162,3352,Directed,0.399603
3162,3361,Directed,0.285659
3162,3391,Directed,0.299958
3162,4232,Directed,0.200946
3162,4238,Directed,0.294092
3162,4241,Directed,0.313243
3162,4245,Directed,0.369639
3162,4249,Directed,0.253475
3162,4421,Directed,0.320421
3162,4422,Directed,0.209271
3162,5232,Directed,0.421879
3162,5241,Directed,0.320421
3169,2121,Directed,0.225648
3169,3112,Directed,0.269313
3169,3114,Directed,0.258318
3169,3115,Directed,0.365528
3169,3117,Directed,0.304075
3169,3151,Directed,0.301069
3169,3255,Directed,0.221176
3169,3314,Directed,0.207165
3169,3315,Directed,0.269313
3169,3331,Directed,0.212366
3169,3342,Directed,0.210324
3169,3364,Directed,0.265157
3169,3365,Directed,0.235937
3169,4245,Directed,0.224198
3169,4247,Directed,0.262213
3169,4512,Directed,0.276801
3169,5241,Directed,0.207165
3169,5612,Directed,0.244954
3211,3115,Directed,0.209167
3211,3122,Directed,0.226896
3211,3131,Directed,0.283012
3211,3132,Directed,0.261313
3211,3141,Directed,0.20081
3211,3212,Directed,0.433767
3211,3219,Directed,0.286481
3211,3221,Directed,0.351834
3211,3241,Directed,0.304556
3211,3253,Directed,0.269648
3211,3256,Directed,0.226896
3211,3259,Directed,0.238053
3211,3262,Directed,0.25908
3211,3273,Directed,0.203415
3211,3328,Directed,0.26111
3211,3333,Directed,0.23002
3211,3352,Directed,0.306077
3211,3364,Directed,0.284888
3211,4235,Directed,0.230936
3211,4245,Directed,0.243929
3211,4249,Directed,0.256859
3211,4842,Directed,0.206692
3211,4921,Directed,0.235759
3211,4931,Directed,0.205176
3211,6112,Directed,0.349543
3211,6113,Directed,0.206692
3212,3211,Directed,0.435779
3212,3219,Directed,0.490463
3212,3253,Directed,0.310766
3212,3254,Directed,0.263017
3212,3364,Directed,0.223344
3212,3371,Directed,0.303311
3212,4241,Directed,0.2469
3212,4249,Directed,0.369472
3212,5241,Directed,0.228143
3212,5611,Directed,0.302525
3219,3211,Directed,0.372767
3219,3212,Directed,0.43004
3219,3241,Directed,0.251382
3219,3315,Directed,0.200628
3219,3333,Directed,0.203611
3219,3352,Directed,0.243216
3219,3371,Directed,0.395751
3219,4235,Directed,0.216923
3219,5241,Directed,0.222027
3221,3361,Directed,0.222593
3221,4238,Directed,0.210823
3221,4249,Directed,0.228197
3221,5232,Directed,0.233874
3221,6113,Directed,0.332932
3222,2121,Directed,0.208337
3222,3112,Directed,0.273781
3222,3122,Directed,0.247845
3222,3131,Directed,0.262569
3222,3132,Directed,0.256709
3222,3241,Directed,0.2686
3222,3251,Directed,0.23685
3222,3271,Directed,0.21839
3222,3273,Directed,0.243669
3222,3321,Directed,0.460808
3222,3324,Directed,0.301365
3222,3325,Directed,0.470858
3222,3326,Directed,0.564312
3222,3328,Directed,0.21839
3222,3329,Directed,0.477495
3222,3345,Directed,0.213631
3222,3352,Directed,0.327027
3222,3363,Directed,0.210464
3222,3365,Directed,0.204066
3222,3372,Directed,0.383282
3222,4235,Directed,0.200733
3231,3122,Directed,0.223049
3231,3162,Directed,0.21115
3231,3336,Directed,0.207036
3231,3352,Directed,0.223049
3241,2122,Directed,0.228952
3241,3112,Directed,0.224679
3241,3114,Directed,0.210223
3241,3115,Directed,0.259441
3241,3122,Directed,0.356351
3241,3131,Directed,0.399103
3241,3141,Directed,0.212166
3241,3151,Directed,0.450256
3241,3251,Directed,0.231412
3241,3259,Directed,0.261052
3241,3328,Directed,0.214474
3241,3361,Directed,0.270436
3241,3364,Directed,0.238252
3241,4245,Directed,0.28747
3241,4249,Directed,0.210223
3241,4531,Directed,0.446528
3241,5331,Directed,0.210223
3241,5611,Directed,0.368585
3241,5612,Directed,0.39414
3241,6113,Directed,0.218048
3251,2121,Directed,0.375146
3251,3112,Directed,0.304171
3251,3114,Directed,0.310905
3251,3115,Directed,0.543054
3251,3119,Directed,0.235393
3251,3121,Directed,0.22499
3251,3122,Directed,0.560782
3251,3132,Directed,0.281581
3251,3162,Directed,0.247853
3251,3221,Directed,0.338933
3251,3241,Directed,0.297541
3251,3253,Directed,0.274476
3251,3254,Directed,0.375146
3251,3256,Directed,0.259752
3251,3259,Directed,0.356339
3251,3262,Directed,0.206507
3251,3271,Directed,0.273763
3251,3273,Directed,0.285959
3251,3315,Directed,0.22499
3251,3328,Directed,0.483023
3251,3331,Directed,0.264953
3251,3352,Directed,0.515025
3251,3353,Directed,0.242852
3251,3361,Directed,0.22499
3251,3362,Directed,0.282982
3251,3364,Directed,0.259752
3251,3365,Directed,0.320709
3251,3369,Directed,0.210391
3251,4232,Directed,0.441306
3251,4235,Directed,0.30955
3251,4241,Directed,0.206816
3251,4245,Directed,0.338933
3251,4248,Directed,0.3148
3251,4249,Directed,0.289715
3251,4885,Directed,0.219635
3251,5121,Directed,0.253019
3251,5611,Directed,0.338933
3253,3112,Directed,0.210956
3253,3115,Directed,0.421809
3253,3132,Directed,0.213189
3253,3151,Directed,0.260441
3253,3161,Directed,0.213189
3253,3162,Directed,0.251548
3253,3221,Directed,0.245718
3253,3241,Directed,0.380417
3253,3251,Directed,0.331633
3253,3254,Directed,0.236173
3253,3255,Directed,0.210511
3253,3256,Directed,0.275681
3253,3259,Directed,0.40703
3253,3262,Directed,0.270078
3253,3273,Directed,0.391698
3253,3313,Directed,0.225515
3253,3315,Directed,0.307866
3253,3328,Directed,0.23854
3253,3333,Directed,0.341058
3253,3352,Directed,0.421809
3253,3362,Directed,0.203131
3253,3365,Directed,0.211699
3253,3391,Directed,0.322165
3253,4235,Directed,0.295516
3253,4885,Directed,0.209089
3253,4931,Directed,0.267663
3253,5211,Directed,0.217689
3253,5611,Directed,0.530954
3253,6112,Directed,0.373505
3254,2122,Directed,0.273859
3254,2211,Directed,0.312317
3254,2382,Directed,0.281283
3254,3112,Directed,0.356736
3254,3114,Directed,0.447791
3254,3115,Directed,0.345741
3254,3121,Directed,0.383065
3254,3131,Directed,0.406222
3254,3151,Directed,0.406222
3254,3162,Directed,0.300418
3254,3241,Directed,0.389977
3254,3253,Directed,0.406222
3254,3256,Directed,0.421462
3254,3259,Directed,0.355321
3254,3273,Directed,0.377777
3254,3313,Directed,0.26656
3254,3315,Directed,0.395654
3254,3328,Directed,0.435472
3254,3333,Directed,0.355559
3254,3342,Directed,0.275967
3254,3345,Directed,0.331622
3254,3352,Directed,0.391498
3254,3361,Directed,0.374465
3254,3364,Directed,0.5464
3254,3365,Directed,0.51718
3254,3391,Directed,0.35056
3254,4248,Directed,0.300418
3254,4249,Directed,0.421462
3254,4855,Directed,0.280348
3254,4921,Directed,0.234031
3254,6112,Directed,0.330229
3255,3112,Directed,0.273402
3255,3114,Directed,0.36528
3255,3117,Directed,0.360871
3255,3121,Directed,0.213404
