Source,Target,Type,Id,Label,timeset,Weight
712,521,Directed,3821,,,0.429768
517,327,Directed,2842,,,0.304441
521,331,Directed,2872,,,0.596044
522,332,Directed,2940,,,0.290916
523,333,Directed,2971,,,1.588898
524,334,Directed,3094,,,0.65793
525,335,Directed,3138,,,0.891001
711,521,Directed,3786,,,0.270912
521,332,Directed,2873,,,2.416358
522,333,Directed,2941,,,0.478305
523,334,Directed,2973,,,2.651058
524,335,Directed,3096,,,1.017215
525,336,Directed,3141,,,0.487752
711,522,Directed,3787,,,0.244583
521,333,Directed,2880,,,0.78834
523,335,Directed,2975,,,3.215866
524,336,Directed,3098,,,1.460914
525,337,Directed,3143,,,0.202947
711,523,Directed,3704,,,0.996999
812,624,Directed,3905,,,0.247702
512,325,Directed,2779,,,0.807749
521,334,Directed,2882,,,1.79699
522,335,Directed,2914,,,1.384353
523,336,Directed,2978,,,2.180363
611,424,Directed,3601,,,1.670444
521,335,Directed,2886,,,1.583393
522,336,Directed,2916,,,1.25761
512,327,Directed,2782,,,0.331838
521,336,Directed,2889,,,2.250428
521,337,Directed,2893,,,0.399617
493,311,Directed,2749,,,0.791785
517,335,Directed,2843,,,0.224173
492,311,Directed,2731,,,0.250581
493,312,Directed,2752,,,0.665769
512,331,Directed,2783,,,0.830595
713,532,Directed,3830,,,2.79116
492,312,Directed,2732,,,0.683019
493,313,Directed,2754,,,0.464771
711,531,Directed,3751,,,0.666746
512,333,Directed,2784,,,1.053803
711,532,Directed,3725,,,1.022786
493,315,Directed,2756,,,0.293872
512,334,Directed,2786,,,1.097493
488,311,Directed,2604,,,4.572021
492,315,Directed,2734,,,0.378764
512,335,Directed,2787,,,0.878637
487,311,Directed,2516,,,1.197562
492,316,Directed,2735,,,0.214968
512,336,Directed,2788,,,0.501575
486,311,Directed,2484,,,1.155229
488,313,Directed,2641,,,0.271658
485,311,Directed,2427,,,1.563605
486,312,Directed,2487,,,0.23721
487,313,Directed,2541,,,0.217371
485,312,Directed,2428,,,1.076893
486,313,Directed,2488,,,0.331115
488,315,Directed,2614,,,1.191196
483,311,Directed,2365,,,0.894182
485,313,Directed,2442,,,0.313389
487,315,Directed,2519,,,0.525447
488,316,Directed,2642,,,1.198206
713,541,Directed,3833,,,0.683837
483,312,Directed,2368,,,0.432979
486,315,Directed,2489,,,0.251933
487,316,Directed,2520,,,0.577081
481,311,Directed,2318,,,2.044706
